id,event,element_group,name,alias,difficulty,row_number
1,1,1,倒立から下ろして(開脚前挙or脚前挙)支持(2秒),,1,1
2,1,1,脚上挙支持(2秒),,2,1
3,1,1,脚上挙支持(脚が水平、2秒),マンナ,3,1
4,1,1,立位から伸腕屈身力倒立(2秒),,1,2
5,1,1,伸腕屈身閉脚力倒立(2秒)or屈腕伸身力倒立(2秒),,2,2
6,1,1,脚上挙支持(2秒)から伸腕屈身閉脚力倒立(2秒),,3,2
7,1,1,マンナ(2秒)から伸腕屈身閉脚力倒立(2秒),,4,2
8,1,1,正面支持臥から勢いをつけて屈腕伸身力倒立(2秒),,1,3
9,1,1,開脚座or脚前挙or開脚前挙or正面支持から伸腕屈身力倒立(2秒),,2,3
10,1,1,マンナ(2秒)から肩転位して倒立(2秒),,4,3
11,1,1,倒立(2秒),,1,4
12,1,1,倒立から下ろして十字倒立(2秒),,2,4
13,1,1,伸腕屈身力十字力倒立(2秒),,3,4
14,1,1,開脚上水平支持(2秒),,1,5
15,1,1,上水平支持(2秒) or 中水平支持(2秒),,3,5
16,1,1,倒立ひねりor倒立1回ひねり,,1,6
17,1,1,開脚上水平支持から伸腕伸身力倒立(2秒),,2,6
18,1,1,上水平支持 or 中水平支持から伸腕伸身力十字倒立(2秒),アルバニロ,4,6
19,1,1,脚上挙などから後方回転開脚立ち,,1,7
20,1,1,倒立前転開脚浮腰支持経過倒立(2秒),,2,8
21,1,1,倒立から伸膝前転脚前挙支持経過倒立(2秒),,3,8
22,1,1,前方倒立回転,,1,9
23,1,1,前後開脚座（２秒）or左右開脚座（２秒）,,1,10
24,1,1,片足平均立ち(2秒：正面、側面、背面),,1,11
25,1,1,脚を保持しない180°片足平均立ち(2秒：正面、側面、背面),,2,11
26,1,1,後ろとび正面支持臥,,1,12
27,1,1,屈、伸身後ろとび正面支持臥(エンドー),,2,12
28,1,1,バタフライ,,1,13
29,1,1,バタフライ1回ひねり,トンフェイ,2,13
30,1,1,バタフライ2回ひねり,,3,13
31,1,1,旋回(開脚・閉脚),,1,14
32,1,1,旋回倒立(開脚or閉脚),,2,14
33,1,1,旋回倒立、振り下ろして旋回(開脚or閉脚),ゴゴラーゼ,3,14
34,1,1,開脚旋回倒立、とび1回ひねり開脚旋回,,4,14
35,1,1,倒立から下ろして旋回(開脚or閉脚),,2,15
36,1,1,開脚旋回ひねり,,1,16
37,1,1,開脚旋回１回ひねり,,2,16
38,1,1,(閉脚or開脚)旋回1回ひねり倒立,,3,16
39,1,1,開脚旋回ひねり倒立,,2,17
40,1,1,開脚旋回1回ひねり倒立、振り下して(閉脚or開脚)旋回,,4,17
41,1,1,下向き(360°or540°)転向,,1,18
42,1,1,下向き(720°or900°)転向,,2,18
43,1,1,下向き1080°(以上)転向,フェドルチェンコ,3,18
44,1,1,後転倒立ひねり,,1,19
45,1,1,後転倒立とび1回ひねり,,2,19
46,1,2,前転とび,,1,1
47,1,2,前転とび前方かかえ込み宙返り,モランディ,4,1
48,1,2,伸身前とび前転,,1,2
49,1,2,前方(かかえ込みor屈身)宙返り(1/2ひねり),,1,3
50,1,2,前方伸身宙返り(1/2ひねり),,2,3
51,1,2,前方かかえ込み2回宙返り(1/2ひねり),,4,3
52,1,2,前方屈身2回宙返り(1/2ひねり),,5,3
53,1,2,前方かかえ込み2回宙返り1回ひねり,,6,4
54,1,2,前方(かかえ込みor屈身)宙返り正面支持臥,,2,5
55,1,2,前方かかえ込み2回宙返り3/2ひねり,ザパタ,6,5
56,1,2,前とび1/2ひねり後方かかえ込み2回宙返り,デフェル,4,6
57,1,2,前方伸身2回宙返り3/2ひねり,ザパタ2,7,6
58,1,3,後方(かかえ込みor屈身)宙返り,,1,1
59,1,3,後方伸身宙返りor後方速伸身宙返り,,2,1
60,1,3,後方かかえ込み2回宙返り,,3,1
61,1,3,後方かかえ込み2回宙返り1回ひねり,ツカハラ,4,1
62,1,3,後方かかえ込み2回宙返り2回(3/2)ひねり,,5,1
63,1,3,後方かかえ込み2回宙返り3回ひねり,リ・ジョンソン,7,1
64,1,3,後方(かかえ込みor屈身)宙返りひねり,,1,2
65,1,3,後方伸身宙返りひねり,,2,2
66,1,3,後ろとびひねり前方かかえ込み2回宙返り(ひねり),,4,2
67,1,3,後ろとびひねり前方屈身2回宙返り(ひねり),,5,2
68,1,3,後方かかえ込み2回宙返り2回(5/2)ひねり,,6,2
69,1,3,後転とび,,1,3
70,1,3,後方屈身2回宙返り,,4,3
71,1,3,後方かかえ込み3回宙返り,リューキン,9,3
72,1,3,後方屈身3回宙返り,ナゴルニー,10,4
