id,code,event,element_group,name,alias,difficulty,row_number,column_num,start_direction,end_direction,element_type
1,I1,1,1,倒立から下ろして(開脚前挙or脚前挙)支持(2秒),,1,1,1,,,3
2,I2,1,1,脚上挙支持(2秒),,2,1,2,,,3
3,I3,1,1,脚上挙支持(脚が水平、2秒),マンナ,3,1,3,,,3
4,I7,1,1,立位から伸腕屈身力倒立(2秒),,1,2,1,,,3
5,I8,1,1,伸腕屈身閉脚力倒立(2秒),,2,2,2,,,3
6,I8,1,1,屈腕伸身力倒立(2秒),,2,3,2,,,3
7,I9,1,1,脚上挙支持(2秒)から伸腕屈身閉脚力倒立(2秒),,3,2,3,,,3
8,I10,1,1,マンナ(2秒)から伸腕屈身閉脚力倒立(2秒),,4,2,4,,,3
9,I13,1,1,正面支持臥から勢いをつけて屈腕伸身力倒立(2秒),,1,4,1,,,3
10,I14,1,1,開脚座or脚前挙or開脚前挙or正面支持から伸腕屈身力倒立(2秒),,2,4,2,,,3
11,I16,1,1,マンナ(2秒)から肩転位して倒立(2秒),,4,4,4,,,3
12,I19,1,1,倒立(2秒),,1,5,1,,,
13,I20,1,1,倒立から下ろして十字倒立(2秒),,2,5,2,,,3
14,I21,1,1,伸腕屈身力十字力倒立(2秒),,3,5,3,,,3
15,I25,1,1,開脚上水平支持(2秒),,1,6,1,,,3
16,I27,1,1,上水平支持(2秒) or 中水平支持(2秒),,3,6,3,,,3
17,I31,1,1,倒立ひねりor倒立1回ひねり,,1,7,1,,,
18,I32,1,1,開脚上水平支持から伸腕伸身力倒立(2秒),,2,7,2,,,3
19,I34,1,1,上水平支持から伸腕伸身力十字倒立(2秒),,4,7,4,,,3
20,I34,1,1,中水平支持から伸腕伸身力十字倒立(2秒),アルバニロ,4,8,4,,,3
21,I37,1,1,脚上挙などから後方回転開脚立ち,,1,8,1,,,3
22,I44,1,1,倒立前転開脚浮腰支持経過倒立(2秒),,2,9,2,,,3
23,I45,1,1,倒立から伸膝前転脚前挙支持経過倒立(2秒),,3,9,3,,,3
24,I49,1,1,前方倒立回転,,1,10,1,,,
25,I55,1,1,前後開脚座（2秒）or左右開脚座（2秒）,,1,11,1,,,
26,I61,1,1,片足平均立ち(2秒：正面、側面、背面),,1,12,1,,,
27,I62,1,1,脚を保持しない180°片足平均立ち(2秒：正面、側面、背面),,2,12,2,,,
28,I67,1,1,後ろとび正面支持臥,,1,13,1,,,
29,I68,1,1,屈、伸身後ろとび正面支持臥(エンドー),,2,13,2,,,
30,I73,1,1,バタフライ,,1,14,1,,,
31,I74,1,1,バタフライ1回ひねり,トンフェイ,2,14,2,,,
32,I75,1,1,バタフライ2回ひねり,,3,14,3,,,
33,I79,1,1,旋回(開脚・閉脚),,1,15,1,,,4
34,I80,1,1,旋回倒立(開脚or閉脚),,2,15,2,,,4
35,I81,1,1,旋回倒立、振り下ろして旋回(開脚or閉脚),ゴゴラーゼ,3,15,3,,,4
36,I82,1,1,開脚旋回倒立、とび1回ひねり開脚旋回,,4,15,4,,,4
37,I86,1,1,倒立から下ろして旋回(開脚or閉脚),,2,16,2,,,4
38,I91,1,1,開脚旋回ひねり,,1,17,1,,,4
39,I92,1,1,開脚旋回1回ひねり,,2,17,2,,,4
40,I93,1,1,(閉脚or開脚)旋回1回ひねり倒立,,3,17,3,,,4
41,I98,1,1,開脚旋回ひねり倒立,,2,18,2,,,4
42,I100,1,1,開脚旋回1回ひねり倒立、振り下して(閉脚or開脚)旋回,,4,18,4,,,4
43,I103,1,1,下向き(360°or540°)転向,,1,19,1,,,4
44,I104,1,1,下向き(720°or900°)転向,,2,19,2,,,4
